Level 1,Level 1 Description,Level 2,.,Level 3 ,Level 3 Description,Level 4,Level 4 Description,Full level 4 code,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,03,Barley seeds,10151603,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,04,Millet seeds,10151604,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,05,Oat seeds,10151605,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,06,Sesame seeds,10151606,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,07,Linseed seeds,10151607,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,08,Castor oil seeds,10151608,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,09,Maize seeds,10151609,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,10,Rye seeds,10151610,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,16,Cereal seeds,11,Sorghum seeds,10151611,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,17,Grass & forage seeds & seedlings,01,Rice seeds or seedlings,10151701,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,17,Grass & forage seeds & seedlings,02,Clover seeds or seedling,10151702,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,17,Grass & forage seeds & seedlings,03,Alfalfa seeds or seedlings,10151703,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,17,Grass & forage seeds & seedlings,04,Grass seeds or seedlings,10151704,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,17,Grass & forage seeds & seedlings,05,Crown vetch seeds or seedlings,10151705,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,17,Grass & forage seeds & seedlings,06,Guar seeds or seedlings,10151706,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,01,Pepper seeds or seedlings,10151801,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,02,Vanilla seeds or seedlings,10151802,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,03,Cinnamon seeds or seedlings,10151803,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,04,Clove seeds or seedlings,10151804,,
